industry,page_type,position,component_type,section_archetype,section_variant,priority,content_direction,template_path
construction-trades,about,2,page_section,ABOUT,editorial-split,required,Company story,
construction-trades,about,3,page_section,TEAM,grid,optional,Team members,
construction-trades,about,4,page_section,STATS,counter,recommended,Key metrics,
construction-trades,about,5,page_section,CTA,centered,required,Get started / contact,
construction-trades,blog-index,1,page_section,HERO,page-header,required,Blog title + optional category filter,
construction-trades,blog-index,2,page_section,BLOG-PREVIEW,grid,required,Blog post grid with featured post,
construction-trades,blog-index,3,page_section,NEWSLETTER,inline,optional,Subscribe for updates,
construction-trades,collection,1,page_section,HERO,page-header,required,Collection title + description + optional banner,
construction-trades,collection,2,page_section,PRODUCT-SHOWCASE,filtered-grid,required,Product grid with sort/filter,
construction-trades,collection,3,page_section,PRODUCT-SHOWCASE,featured-3,optional,Featured products from collection,
construction-trades,contact,1,page_section,HERO,page-header,required,Contact us + subtitle,
construction-trades,contact,2,page_section,CONTACT,split-form,required,Form + location/map/hours,
construction-trades,contact,3,page_section,FAQ,mini-accordion,optional,Common questions before contacting,
construction-trades,content-page,1,page_section,HERO,page-header,required,Page title + optional subtitle,
construction-trades,content-page,2,page_section,CONTENT,rich-text,required,HTML content body,
construction-trades,content-page,3,page_section,CTA,inline,optional,Related page or action CTA,
construction-trades,homepage,1,page_section,HERO,full-bleed-overlay,required,Completed project showcase,
construction-trades,homepage,2,page_section,FEATURES,icon-grid,required,"Services (residential, commercial, renovation)",
construction-trades,homepage,3,page_section,PORTFOLIO,masonry,required,Project gallery with before/after,
construction-trades,homepage,4,page_section,TRUST-BADGES,horizontal-strip,required,"Licensed, insured, certified",
construction-trades,homepage,5,page_section,TESTIMONIALS,carousel,required,Client testimonials,
construction-trades,homepage,6,page_section,STATS,counter,required,"Projects completed, years experience",
construction-trades,homepage,7,page_section,HOW-IT-WORKS,numbered-steps,recommended,Project process (consult → design → build),
construction-trades,homepage,8,page_section,ABOUT,editorial-split,required,,
construction-trades,homepage,9,page_section,FAQ,accordion,recommended,"Timeline, pricing, permits",
construction-trades,homepage,10,page_section,CONTACT,split-form,required,Get a quote form,
construction-trades,homepage,11,page_section,CTA,centered,required,,
construction-trades,product-detail,1,page_section,PRODUCT-DETAIL,gallery-sidebar,required,"Image gallery left, buy box right",
construction-trades,product-detail,2,page_section,PRODUCT-DETAIL,description-tabs,required,"Description, specs, reviews in tabs",
construction-trades,product-detail,3,page_section,PRODUCT-SHOWCASE,related-products,required,4 related products carousel,
construction-trades,shared,0,cart_drawer,CART-DRAWER,slide-out,required,Side panel with upsell recommendations,
construction-trades,shared,0,footer,FOOTER,mega,required,Multi-column standard footer,
construction-trades,shared,0,navigation,NAV,sticky-transparent,required,Standard dropdown navigation,
creative-studios,about,1,page_section,HERO,page-header,required,Company name + tagline,
creative-studios,about,2,page_section,ABOUT,editorial-split,required,Company story,
creative-studios,about,3,page_section,TEAM,grid,optional,Team members,
creative-studios,about,4,page_section,STATS,counter,recommended,Key metrics,
creative-studios,about,5,page_section,CTA,centered,required,Get started / contact,
creative-studios,blog-index,1,page_section,HERO,page-header,required,Blog title + optional category filter,
creative-studios,blog-index,2,page_section,BLOG-PREVIEW,grid,required,Blog post grid with featured post,
creative-studios,blog-index,3,page_section,NEWSLETTER,inline,optional,Subscribe for updates,
creative-studios,collection,1,page_section,HERO,page-header,required,Collection title + description + optional banner,
creative-studios,collection,2,page_section,PRODUCT-SHOWCASE,filtered-grid,required,Product grid with sort/filter,
creative-studios,collection,3,page_section,PRODUCT-SHOWCASE,featured-3,optional,Featured products from collection,
creative-studios,contact,1,page_section,HERO,page-header,required,Contact us + subtitle,
creative-studios,contact,2,page_section,CONTACT,split-form,required,Form + location/map/hours,
creative-studios,contact,3,page_section,FAQ,mini-accordion,optional,Common questions before contacting,
creative-studios,content-page,1,page_section,HERO,page-header,required,Page title + optional subtitle,
creative-studios,content-page,2,page_section,CONTENT,rich-text,required,HTML content body,
creative-studios,content-page,3,page_section,CTA,inline,optional,Related page or action CTA,
creative-studios,homepage,1,page_section,HERO,animated-gradient,required,Bold typography + showreel,
creative-studios,homepage,2,page_section,PORTFOLIO,masonry,required,Selected works showcase,
creative-studios,homepage,3,page_section,FEATURES,icon-grid,required,Services offered,
creative-studios,homepage,4,page_section,LOGO-BAR,scrolling-marquee,recommended,Client logos,
creative-studios,homepage,5,page_section,ABOUT,editorial-split,required,"Studio philosophy, process",
creative-studios,homepage,6,page_section,TEAM,grid,optional,Creative team,
creative-studios,homepage,7,page_section,TESTIMONIALS,single-featured,recommended,Client quote,
creative-studios,homepage,8,page_section,CTA,centered,required,Start a project,
creative-studios,product-detail,1,page_section,PRODUCT-DETAIL,gallery-sidebar,required,"Image gallery left, buy box right",
creative-studios,product-detail,2,page_section,PRODUCT-DETAIL,description-tabs,required,"Description, specs, reviews in tabs",
creative-studios,product-detail,3,page_section,PRODUCT-SHOWCASE,related-products,required,4 related products carousel,
creative-studios,shared,0,cart_drawer,CART-DRAWER,slide-out,required,Side panel with upsell recommendations,
creative-studios,shared,0,footer,FOOTER,mega,required,Multi-column standard footer,
creative-studios,shared,0,navigation,NAV,sticky-transparent,required,Standard dropdown navigation,
education,about,1,page_section,HERO,page-header,required,Company name + tagline,
education,about,2,page_section,ABOUT,editorial-split,required,Company story,
education,about,3,page_section,TEAM,grid,optional,Team members,
education,about,4,page_section,STATS,counter,recommended,Key metrics,
education,about,5,page_section,CTA,centered,required,Get started / contact,
education,blog-index,1,page_section,HERO,page-header,required,Blog title + optional category filter,
education,blog-index,2,page_section,BLOG-PREVIEW,grid,required,Blog post grid with featured post,
education,blog-index,3,page_section,NEWSLETTER,inline,optional,Subscribe for updates,
education,collection,1,page_section,HERO,page-header,required,Collection title + description + optional banner,
education,collection,2,page_section,PRODUCT-SHOWCASE,filtered-grid,required,Product grid with sort/filter,
education,collection,3,page_section,PRODUCT-SHOWCASE,featured-3,optional,Featured products from collection,
education,contact,1,page_section,HERO,page-header,required,Contact us + subtitle,
education,contact,2,page_section,CONTACT,split-form,required,Form + location/map/hours,
education,contact,3,page_section,FAQ,mini-accordion,optional,Common questions before contacting,
education,content-page,1,page_section,HERO,page-header,required,Page title + optional subtitle,
education,content-page,2,page_section,CONTENT,rich-text,required,HTML content body,
education,content-page,3,page_section,CTA,inline,optional,Related page or action CTA,
education,homepage,1,page_section,HERO,split-image,required,Students/outcomes imagery,
education,homepage,2,page_section,PRODUCT-SHOWCASE,hover-cards,required,Course/program catalog,
education,homepage,3,page_section,STATS,counter,required,"Students enrolled, completion rate, career outcomes",
education,homepage,4,page_section,FEATURES,icon-grid,recommended,Platform features / learning benefits,
education,homepage,5,page_section,TEAM,grid,optional,Instructors / faculty,
education,homepage,6,page_section,HOW-IT-WORKS,numbered-steps,required,Enrollment process,
education,homepage,7,page_section,LOGO-BAR,static-grid,required,,
education,homepage,8,page_section,TESTIMONIALS,carousel,required,Student success stories,
education,homepage,9,page_section,FAQ,accordion,required,"Admissions, pricing, certificates",
education,homepage,10,page_section,CTA,centered,required,Enroll now / free preview,
education,product-detail,1,page_section,PRODUCT-DETAIL,gallery-sidebar,required,"Image gallery left, buy box right",
education,product-detail,2,page_section,PRODUCT-DETAIL,description-tabs,required,"Description, specs, reviews in tabs",
education,product-detail,3,page_section,PRODUCT-SHOWCASE,related-products,required,4 related products carousel,
education,shared,0,cart_drawer,CART-DRAWER,slide-out,required,Side panel with upsell recommendations,
education,shared,0,footer,FOOTER,mega,required,Multi-column standard footer,
education,shared,0,navigation,NAV,sticky-transparent,required,Standard dropdown navigation,
electronics-tech,about,1,page_section,HERO,page-header,required,Company name + tagline,
electronics-tech,about,2,page_section,ABOUT,editorial-split,required,Company story,
electronics-tech,about,3,page_section,TEAM,grid,optional,Team members,
electronics-tech,about,4,page_section,STATS,counter,recommended,Key metrics,
electronics-tech,about,5,page_section,CTA,centered,required,Get started / contact,
electronics-tech,blog-index,1,page_section,HERO,page-header,required,Blog title + optional category filter,
electronics-tech,blog-index,2,page_section,BLOG-PREVIEW,grid,required,Blog post grid with featured post,
electronics-tech,blog-index,3,page_section,NEWSLETTER,inline,optional,Subscribe for updates,
electronics-tech,collection,1,page_section,HERO,page-header,required,Collection title + description + optional banner,
electronics-tech,collection,2,page_section,PRODUCT-SHOWCASE,filtered-grid,required,Product grid with sort/filter,
electronics-tech,collection,3,page_section,COMPARISON,inline-compare,recommended,Quick compare selected products,
electronics-tech,collection,4,page_section,FAQ,mini-accordion,optional,Category buying guide FAQ,
electronics-tech,contact,1,page_section,HERO,page-header,required,Contact us + subtitle,
electronics-tech,contact,2,page_section,CONTACT,split-form,required,Form + location/map/hours,
electronics-tech,contact,3,page_section,FAQ,mini-accordion,optional,Common questions before contacting,
electronics-tech,content-page,1,page_section,HERO,page-header,required,Page title + optional subtitle,
electronics-tech,content-page,2,page_section,CONTENT,rich-text,required,HTML content body,
electronics-tech,content-page,3,page_section,CTA,inline,optional,Related page or action CTA,
electronics-tech,homepage,1,page_section,HERO,product-hero,required,Product hero with spec highlights,
electronics-tech,homepage,2,page_section,PRODUCT-SHOWCASE,hover-cards,required,Product lineup / categories,
electronics-tech,homepage,3,page_section,FEATURES,icon-grid,required,Key specs with icons,
electronics-tech,homepage,4,page_section,COMPARISON,table,required,Model comparison matrix,
electronics-tech,homepage,5,page_section,LOGO-BAR,scrolling-marquee,required,,
electronics-tech,homepage,6,page_section,TESTIMONIALS,carousel,recommended,Tech reviewer quotes,
electronics-tech,homepage,7,page_section,HOW-IT-WORKS,numbered-steps,optional,Setup / getting started,
electronics-tech,homepage,8,page_section,STATS,counter,recommended,"Users, uptime, performance metrics",
electronics-tech,homepage,9,section,TRUST-BADGES,horizontal-strip,required,"Warranty icons, security certifications, payment trust badges, and tech review site logos.",
electronics-tech,homepage,10,page_section,FAQ,accordion,required,"Compatibility, warranty, specs",
electronics-tech,homepage,11,page_section,NEWSLETTER,inline,recommended,Product updates + early access,
electronics-tech,product-detail,1,page_section,PRODUCT-DETAIL,gallery-sidebar,required,Product angles + annotated features,
electronics-tech,product-detail,2,page_section,FEATURES,spec-table,required,Full specifications table,
electronics-tech,product-detail,3,page_section,PRODUCT-DETAIL,description-tabs,required,"Overview, specs, in the box, compatibility",
electronics-tech,product-detail,4,page_section,COMPARISON,inline-compare,recommended,Compare models side-by-side,
electronics-tech,product-detail,5,page_section,VIDEO,inline-player,recommended,Demo / setup walkthrough,
electronics-tech,product-detail,6,page_section,TESTIMONIALS,mini-reviews,required,User reviews with star breakdown,
electronics-tech,product-detail,7,page_section,PRODUCT-SHOWCASE,accessories,required,Compatible accessories bundle,
electronics-tech,shared,0,cart_drawer,CART-DRAWER,slide-out,required,Side panel with upsell recommendations,
electronics-tech,shared,0,footer,FOOTER,mega,required,Multi-column standard footer,
electronics-tech,shared,0,navigation,NAV,mega-menu,required,Utility-first with search prominence,
events-venues,about,1,page_section,HERO,page-header,required,Company name + tagline,
events-venues,about,2,page_section,ABOUT,editorial-split,required,Company story,
events-venues,about,3,page_section,TEAM,grid,optional,Team members,
events-venues,about,4,page_section,STATS,counter,recommended,Key metrics,
events-venues,about,5,page_section,CTA,centered,required,Get started / contact,
events-venues,blog-index,1,page_section,HERO,page-header,required,Blog title + optional category filter,
events-venues,blog-index,2,page_section,BLOG-PREVIEW,grid,required,Blog post grid with featured post,
events-venues,blog-index,3,page_section,NEWSLETTER,inline,optional,Subscribe for updates,
events-venues,collection,1,page_section,HERO,page-header,required,Collection title + description + optional banner,
events-venues,collection,2,page_section,PRODUCT-SHOWCASE,filtered-grid,required,Product grid with sort/filter,
events-venues,collection,3,page_section,PRODUCT-SHOWCASE,featured-3,optional,Featured products from collection,
events-venues,contact,1,page_section,HERO,page-header,required,Contact us + subtitle,
events-venues,contact,2,page_section,CONTACT,split-form,required,Form + location/map/hours,
events-venues,contact,3,page_section,FAQ,mini-accordion,optional,Common questions before contacting,
events-venues,content-page,1,page_section,HERO,page-header,required,Page title + optional subtitle,
events-venues,content-page,2,page_section,CONTENT,rich-text,required,HTML content body,
events-venues,content-page,3,page_section,CTA,inline,optional,Related page or action CTA,
events-venues,homepage,1,page_section,HERO,video-background,required,Event highlight reel,
events-venues,homepage,2,page_section,FEATURES,icon-grid,required,"Venue specs (capacity, A/V, catering)",
events-venues,homepage,3,page_section,GALLERY,masonry,required,Venue + event photography,
events-venues,homepage,4,page_section,PRODUCT-SHOWCASE,hover-cards,required,Event packages / venue spaces,
events-venues,homepage,5,page_section,TESTIMONIALS,carousel,required,Client event testimonials,
events-venues,homepage,6,page_section,TRUST-BADGES,horizontal-strip,required,,
events-venues,homepage,7,page_section,HOW-IT-WORKS,numbered-steps,recommended,Booking process,
events-venues,homepage,8,page_section,FAQ,accordion,recommended,"Capacity, catering, availability",
events-venues,homepage,9,page_section,CONTACT,split-form,required,Inquiry form,
events-venues,product-detail,1,page_section,PRODUCT-DETAIL,gallery-sidebar,required,"Image gallery left, buy box right",
events-venues,product-detail,2,page_section,PRODUCT-DETAIL,description-tabs,required,"Description, specs, reviews in tabs",
events-venues,product-detail,3,page_section,PRODUCT-SHOWCASE,related-products,required,4 related products carousel,
events-venues,shared,0,cart_drawer,CART-DRAWER,slide-out,required,Side panel with upsell recommendations,
events-venues,shared,0,footer,FOOTER,mega,required,Multi-column standard footer,
events-venues,shared,0,navigation,NAV,sticky-transparent,required,Standard dropdown navigation,
fashion-apparel,about,1,page_section,HERO,page-header,required,Company name + tagline,
fashion-apparel,about,2,page_section,ABOUT,editorial-split,required,Company story,
fashion-apparel,about,3,page_section,TEAM,grid,optional,Team members,
fashion-apparel,about,4,page_section,STATS,counter,recommended,Key metrics,
fashion-apparel,about,5,page_section,CTA,centered,required,Get started / contact,
fashion-apparel,blog-index,1,page_section,HERO,page-header,required,Blog title + optional category filter,
fashion-apparel,blog-index,2,page_section,BLOG-PREVIEW,grid,required,Blog post grid with featured post,
fashion-apparel,blog-index,3,page_section,NEWSLETTER,inline,optional,Subscribe for updates,
fashion-apparel,collection,1,page_section,HERO,page-header,required,Collection title + description + optional banner,
fashion-apparel,collection,2,page_section,PRODUCT-SHOWCASE,filtered-grid,required,Product grid with sort/filter,
fashion-apparel,collection,3,page_section,GALLERY,lookbook-banner,recommended,Styled campaign banner mid-grid,
fashion-apparel,collection,4,page_section,PRODUCT-SHOWCASE,trending,optional,Trending in this category,
fashion-apparel,contact,1,page_section,HERO,page-header,required,Contact us + subtitle,
fashion-apparel,contact,2,page_section,CONTACT,split-form,required,Form + location/map/hours,
fashion-apparel,contact,3,page_section,FAQ,mini-accordion,optional,Common questions before contacting,
fashion-apparel,content-page,1,page_section,HERO,page-header,required,Page title + optional subtitle,
fashion-apparel,content-page,2,page_section,CONTENT,rich-text,required,HTML content body,
fashion-apparel,content-page,3,page_section,CTA,inline,optional,Related page or action CTA,
fashion-apparel,homepage,1,page_section,HERO,video-background,required,Seasonal campaign with model imagery,
fashion-apparel,homepage,2,page_section,PRODUCT-SHOWCASE,hover-cards,required,New arrivals / seasonal collection,
fashion-apparel,homepage,3,page_section,PRODUCT-SHOWCASE,carousel,required,Bestsellers with quick-add,
fashion-apparel,homepage,4,page_section,GALLERY,lookbook-grid,required,Editorial lookbook / styled outfits,
fashion-apparel,homepage,5,page_section,ABOUT,editorial-split,recommended,"Brand ethos, design philosophy",
fashion-apparel,homepage,6,page_section,TESTIMONIALS,wall,recommended,UGC / customer photos wall,
fashion-apparel,homepage,7,page_section,LOGO-BAR,static-grid,optional,Featured in press logos,
fashion-apparel,homepage,8,page_section,CTA,split-image,required,Shop the collection CTA,
fashion-apparel,homepage,9,page_section,NEWSLETTER,inline,recommended,VIP access + first look discount,
fashion-apparel,product-detail,1,page_section,PRODUCT-DETAIL,gallery-sidebar,required,"Multi-angle + model shots, zoom on hover",
fashion-apparel,product-detail,2,page_section,PRODUCT-DETAIL,variant-selector,required,"Color swatches, size guide modal",
fashion-apparel,product-detail,3,page_section,PRODUCT-DETAIL,description-tabs,required,"Details, fabric/care, size chart",
fashion-apparel,product-detail,4,page_section,PRODUCT-SHOWCASE,complete-the-look,required,Styled outfit cross-sell (3-4 items),
fashion-apparel,product-detail,5,page_section,TESTIMONIALS,mini-reviews,required,Customer fit reviews with photos,
fashion-apparel,product-detail,6,page_section,PRODUCT-SHOWCASE,related-products,required,You may also like,
fashion-apparel,shared,0,cart_drawer,CART-DRAWER,slide-out,required,Side panel with upsell recommendations,
fashion-apparel,shared,0,footer,FOOTER,mega,required,Multi-column with Instagram feed link,
fashion-apparel,shared,0,navigation,NAV,mega-menu,required,Mega-menu with imagery per category,
fintech,account,1,page_section,DASHBOARD-HEADER,welcome,required,Greeting and account status,
fintech,account,2,page_section,ACCOUNT-NAV,sidebar,required,"Settings, billing, security links",
fintech,account,3,page_section,SUMMARY-CARDS,metrics,required,Balance / orders / portfolio summary,
fintech,account,4,page_section,ACTIVITY-FEED,timeline,recommended,Recent transactions or updates,
fintech,account,5,page_section,FOOTER,support,required,Help and logout links,
fintech,checkout,1,page_section,CHECKOUT-HEADER,secure-lock,required,Secure checkout indicator and order summary,
fintech,checkout,2,page_section,PAYMENT-FORM,card-fields,required,Card / wallet payment form,
fintech,checkout,3,page_section,ORDER-SUMMARY,sidebar,required,Itemised order summary with totals,
fintech,checkout,4,page_section,TRUST-BADGES,pci-row,required,PCI / secure payment badges,
fintech,checkout,5,page_section,FOOTER,support,required,Support and refund policy links,
fintech,homepage,1,page_section,HERO,trust-hero,required,Trust-first value proposition with security badges and product mockup,
fintech,homepage,2,page_section,LOGO-BAR,scrolling-marquee,required,"Payment partners, banking integrations, accreditation logos",
fintech,homepage,3,page_section,FEATURES,icon-grid,required,"Core services: payments, transfers, budgeting, cards, savings, lending",
fintech,homepage,4,page_section,HOW-IT-WORKS,numbered-steps,required,"3-step onboarding: connect account, transact, track",
fintech,homepage,5,page_section,STATS,counter,recommended,"Users, transaction volume, countries served, uptime",
fintech,homepage,6,page_section,TESTIMONIALS,carousel,required,Customer success stories and case studies,
fintech,homepage,7,page_section,TRUST-BADGES,security-row,required,"PCI, SOC2, encryption, regulatory compliance badges",
fintech,homepage,8,page_section,FAQ-ACCORDION,collapsible,recommended,"Security, pricing, eligibility frequently asked questions",
fintech,homepage,9,page_section,CTA-STRIP,bottom-sticky,required,"Final conversion: sign up for free, get started, contact sales",
