id,industry,page_type,component_type,position,section_archetype,section_variant,content_direction,priority
23,artisan-food,about,page_section,2,ABOUT,editorial-split,Founder / origin story,required
24,artisan-food,about,page_section,3,HOW-IT-WORKS,horizontal-timeline,Heritage timeline,recommended
25,artisan-food,about,page_section,4,GALLERY,masonry,Process / team / facility photography,required
26,artisan-food,about,page_section,5,STATS,counter,"Years, products, customers served",recommended
27,artisan-food,about,page_section,6,TEAM,grid,Key team members,optional
28,artisan-food,about,page_section,7,TESTIMONIALS,single-featured,Community/partner quote,optional
29,artisan-food,about,page_section,8,CTA,centered,Shop our products,required
30,artisan-food,contact,page_section,1,HERO,page-header,Contact us + subtitle,required
31,artisan-food,contact,page_section,2,CONTACT,split-form,Form + location/map/hours,required
32,artisan-food,contact,page_section,3,FAQ,mini-accordion,Common questions before contacting,optional
33,artisan-food,blog-index,page_section,1,HERO,page-header,Blog title + optional category filter,required
34,artisan-food,blog-index,page_section,2,BLOG-PREVIEW,grid,Blog post grid with featured post,required
35,artisan-food,blog-index,page_section,3,NEWSLETTER,inline,Subscribe for updates,optional
36,artisan-food,shared,navigation,0,NAV,sticky-transparent,Minimal with dropdown categories,required
37,artisan-food,shared,footer,0,FOOTER,minimal,"Logo, links, newsletter, certifications",required
38,artisan-food,shared,cart_drawer,0,CART-DRAWER,slide-out,Side panel with upsell recommendations,required
39,fashion-apparel,homepage,page_section,1,HERO,video-background,Seasonal campaign with model imagery,required
40,fashion-apparel,homepage,page_section,2,PRODUCT-SHOWCASE,hover-cards,New arrivals / seasonal collection,required
41,fashion-apparel,homepage,page_section,3,ABOUT,editorial-split,"Brand ethos, design philosophy",recommended
42,fashion-apparel,homepage,page_section,4,GALLERY,lookbook-grid,Editorial lookbook / styled outfits,required
43,fashion-apparel,homepage,page_section,5,PRODUCT-SHOWCASE,carousel,Bestsellers with quick-add,required
44,fashion-apparel,homepage,page_section,6,TESTIMONIALS,wall,UGC / customer photos wall,recommended
45,fashion-apparel,homepage,page_section,7,LOGO-BAR,static-grid,Featured in press logos,optional
46,fashion-apparel,homepage,page_section,8,CTA,split-image,Shop the collection CTA,required
47,fashion-apparel,homepage,page_section,9,NEWSLETTER,inline,VIP access + first look discount,recommended
48,fashion-apparel,product-detail,page_section,1,PRODUCT-DETAIL,gallery-sidebar,"Multi-angle + model shots, zoom on hover",required
49,fashion-apparel,product-detail,page_section,2,PRODUCT-DETAIL,variant-selector,"Color swatches, size guide modal",required
50,fashion-apparel,product-detail,page_section,3,PRODUCT-DETAIL,description-tabs,"Details, fabric/care, size chart",required
51,fashion-apparel,product-detail,page_section,4,PRODUCT-SHOWCASE,complete-the-look,Styled outfit cross-sell (3-4 items),required
52,fashion-apparel,product-detail,page_section,5,TESTIMONIALS,mini-reviews,Customer fit reviews with photos,required
53,fashion-apparel,product-detail,page_section,6,PRODUCT-SHOWCASE,related-products,You may also like,required
54,fashion-apparel,collection,page_section,1,HERO,page-header,Collection title + description + optional banner,required
55,fashion-apparel,collection,page_section,2,PRODUCT-SHOWCASE,filtered-grid,Product grid with sort/filter,required
56,fashion-apparel,collection,page_section,3,GALLERY,lookbook-banner,Styled campaign banner mid-grid,recommended
57,fashion-apparel,collection,page_section,4,PRODUCT-SHOWCASE,trending,Trending in this category,optional
58,fashion-apparel,content-page,page_section,1,HERO,page-header,Page title + optional subtitle,required
59,fashion-apparel,content-page,page_section,2,CONTENT,rich-text,HTML content body,required
60,fashion-apparel,content-page,page_section,3,CTA,inline,Related page or action CTA,optional
61,fashion-apparel,about,page_section,1,HERO,page-header,Company name + tagline,required
62,fashion-apparel,about,page_section,2,ABOUT,editorial-split,Company story,required
63,fashion-apparel,about,page_section,3,TEAM,grid,Team members,optional
64,fashion-apparel,about,page_section,4,STATS,counter,Key metrics,recommended
65,fashion-apparel,about,page_section,5,CTA,centered,Get started / contact,required
66,fashion-apparel,contact,page_section,1,HERO,page-header,Contact us + subtitle,required
67,fashion-apparel,contact,page_section,2,CONTACT,split-form,Form + location/map/hours,required
68,fashion-apparel,contact,page_section,3,FAQ,mini-accordion,Common questions before contacting,optional
69,fashion-apparel,blog-index,page_section,1,HERO,page-header,Blog title + optional category filter,required
70,fashion-apparel,blog-index,page_section,2,BLOG-PREVIEW,grid,Blog post grid with featured post,required
71,fashion-apparel,blog-index,page_section,3,NEWSLETTER,inline,Subscribe for updates,optional
72,fashion-apparel,shared,navigation,0,NAV,mega-menu,Mega-menu with imagery per category,required
73,fashion-apparel,shared,footer,0,FOOTER,mega,Multi-column with Instagram feed link,required
74,fashion-apparel,shared,cart_drawer,0,CART-DRAWER,slide-out,Side panel with upsell recommendations,required
75,beauty-cosmetics,homepage,page_section,1,HERO,split-image,Hero product with benefit callouts,required
76,beauty-cosmetics,homepage,page_section,2,LOGO-BAR,static-grid,"Dermatologist-tested, cruelty-free badges",required
77,beauty-cosmetics,homepage,page_section,3,PRODUCT-SHOWCASE,hover-cards,Shop by concern/category,required
78,beauty-cosmetics,homepage,page_section,4,HOW-IT-WORKS,numbered-steps,Skincare routine / application guide,required
79,beauty-cosmetics,homepage,page_section,5,TESTIMONIALS,carousel,Before/after with customer quotes,required
80,beauty-cosmetics,homepage,page_section,6,VIDEO,autoplay-hero,Product demo / ingredient story,recommended
81,beauty-cosmetics,homepage,page_section,7,COMPARISON,table,Why us vs competitors,optional
82,beauty-cosmetics,homepage,page_section,8,STATS,counter,Clinical results numbers,recommended
83,beauty-cosmetics,homepage,page_section,9,NEWSLETTER,inline,Beauty tips + sample offer,recommended
84,beauty-cosmetics,product-detail,page_section,1,PRODUCT-DETAIL,gallery-sidebar,Product + texture shots + swatch,required
85,beauty-cosmetics,product-detail,page_section,2,PRODUCT-DETAIL,description-tabs,"Ingredients, how to use, clinical results",required
86,beauty-cosmetics,product-detail,page_section,3,FEATURES,icon-row,Key benefits (3-4 icons inline),required
87,beauty-cosmetics,product-detail,page_section,4,PRODUCT-DETAIL,subscription-upsell,Subscribe & save for consumables,recommended
88,beauty-cosmetics,product-detail,page_section,5,TESTIMONIALS,mini-reviews,Before/after customer reviews,required
89,beauty-cosmetics,product-detail,page_section,6,PRODUCT-SHOWCASE,routine-builder,Complete your routine cross-sell,required
90,beauty-cosmetics,collection,page_section,1,HERO,page-header,Collection title + description + optional banner,required
91,beauty-cosmetics,collection,page_section,2,PRODUCT-SHOWCASE,filtered-grid,Product grid with sort/filter,required
92,beauty-cosmetics,collection,page_section,3,HOW-IT-WORKS,routine-banner,Build your routine CTA banner,recommended
93,beauty-cosmetics,collection,page_section,4,PRODUCT-SHOWCASE,bestsellers,Category bestsellers highlighted,optional
94,beauty-cosmetics,content-page,page_section,1,HERO,page-header,Page title + optional subtitle,required
95,beauty-cosmetics,content-page,page_section,2,CONTENT,rich-text,HTML content body,required
96,beauty-cosmetics,content-page,page_section,3,CTA,inline,Related page or action CTA,optional
97,beauty-cosmetics,about,page_section,1,HERO,page-header,Company name + tagline,required
98,beauty-cosmetics,about,page_section,2,ABOUT,editorial-split,Company story,required
99,beauty-cosmetics,about,page_section,3,TEAM,grid,Team members,optional
100,beauty-cosmetics,about,page_section,4,STATS,counter,Key metrics,recommended
101,beauty-cosmetics,about,page_section,5,CTA,centered,Get started / contact,required
102,beauty-cosmetics,contact,page_section,1,HERO,page-header,Contact us + subtitle,required
103,beauty-cosmetics,contact,page_section,2,CONTACT,split-form,Form + location/map/hours,required
104,beauty-cosmetics,contact,page_section,3,FAQ,mini-accordion,Common questions before contacting,optional
105,beauty-cosmetics,blog-index,page_section,1,HERO,page-header,Blog title + optional category filter,required
106,beauty-cosmetics,blog-index,page_section,2,BLOG-PREVIEW,grid,Blog post grid with featured post,required
107,beauty-cosmetics,blog-index,page_section,3,NEWSLETTER,inline,Subscribe for updates,optional
108,beauty-cosmetics,shared,navigation,0,NAV,mega-menu,Mega-menu with concern/category split,required
109,beauty-cosmetics,shared,footer,0,FOOTER,mega,Multi-column standard footer,required
110,beauty-cosmetics,shared,cart_drawer,0,CART-DRAWER,slide-out,Side panel with upsell recommendations,required
111,jewelry-watches,homepage,page_section,1,HERO,minimal-text,Luxe typography over dark product shot,required
112,jewelry-watches,homepage,page_section,2,PRODUCT-SHOWCASE,hover-cards,Collections by category,required
113,jewelry-watches,homepage,page_section,3,ABOUT,editorial-split,Craftsmanship story,required
114,jewelry-watches,homepage,page_section,4,VIDEO,autoplay-hero,Making-of / detail shots,recommended
115,jewelry-watches,homepage,page_section,5,GALLERY,masonry,Lifestyle + detail photography,required
116,jewelry-watches,homepage,page_section,6,TESTIMONIALS,single-featured,Customer milestone stories,recommended
117,jewelry-watches,homepage,page_section,7,TRUST-BADGES,horizontal-strip,"Warranty, authenticity, shipping",required
118,jewelry-watches,homepage,page_section,8,CTA,centered,Book consultation / custom design,optional
119,jewelry-watches,homepage,page_section,9,NEWSLETTER,inline,First access + care guide,recommended
120,jewelry-watches,product-detail,page_section,1,PRODUCT-DETAIL,gallery-sidebar,High-res detail shots + lifestyle,required
121,jewelry-watches,product-detail,page_section,2,PRODUCT-DETAIL,description-tabs,"Materials, dimensions, care, certificate",required
122,jewelry-watches,product-detail,page_section,3,TRUST-BADGES,inline-strip,"Authenticity, warranty, free shipping",required
123,jewelry-watches,product-detail,page_section,4,VIDEO,inline-player,360° view or craftsmanship detail,recommended
124,jewelry-watches,product-detail,page_section,5,PRODUCT-SHOWCASE,related-products,From the same collection,required
125,jewelry-watches,collection,page_section,1,HERO,page-header,Collection title + description + optional banner,required
126,jewelry-watches,collection,page_section,2,PRODUCT-SHOWCASE,filtered-grid,Product grid with sort/filter,required
127,jewelry-watches,collection,page_section,3,PRODUCT-SHOWCASE,featured-3,Featured products from collection,optional
128,jewelry-watches,content-page,page_section,1,HERO,page-header,Page title + optional subtitle,required
129,jewelry-watches,content-page,page_section,2,CONTENT,rich-text,HTML content body,required
130,jewelry-watches,content-page,page_section,3,CTA,inline,Related page or action CTA,optional
131,jewelry-watches,about,page_section,1,HERO,page-header,Company name + tagline,required
132,jewelry-watches,about,page_section,2,ABOUT,editorial-split,Company story,required
133,jewelry-watches,about,page_section,3,TEAM,grid,Team members,optional
134,jewelry-watches,about,page_section,4,STATS,counter,Key metrics,recommended
135,jewelry-watches,about,page_section,5,CTA,centered,Get started / contact,required
136,jewelry-watches,contact,page_section,1,HERO,page-header,Contact us + subtitle,required
137,jewelry-watches,contact,page_section,2,CONTACT,split-form,Form + location/map/hours,required
138,jewelry-watches,contact,page_section,3,FAQ,mini-accordion,Common questions before contacting,optional
139,jewelry-watches,blog-index,page_section,1,HERO,page-header,Blog title + optional category filter,required
140,jewelry-watches,blog-index,page_section,2,BLOG-PREVIEW,grid,Blog post grid with featured post,required
141,jewelry-watches,blog-index,page_section,3,NEWSLETTER,inline,Subscribe for updates,optional
142,jewelry-watches,shared,navigation,0,NAV,sticky-transparent,Elegant minimal with centered logo,required
143,jewelry-watches,shared,footer,0,FOOTER,mega,Multi-column standard footer,required
144,jewelry-watches,shared,cart_drawer,0,CART-DRAWER,slide-out,Side panel with upsell recommendations,required
145,health-wellness,homepage,page_section,1,HERO,split-image,Wellness outcome imagery with clear CTA,required
146,health-wellness,homepage,page_section,2,STATS,counter,Clinical results / user outcomes,required
147,health-wellness,homepage,page_section,3,PRODUCT-SHOWCASE,hover-cards,Shop by goal/need,required
148,health-wellness,homepage,page_section,4,HOW-IT-WORKS,numbered-steps,How it works / protocol,required
149,health-wellness,homepage,page_section,5,COMPARISON,table,Ingredient transparency vs competitors,recommended
150,health-wellness,homepage,page_section,6,TESTIMONIALS,carousel,Transformation stories,required
151,health-wellness,homepage,page_section,7,TRUST-BADGES,horizontal-strip,"FDA, GMP, third-party tested",required
152,health-wellness,homepage,page_section,8,FAQ,accordion,"Dosage, interactions, shipping",required
153,health-wellness,homepage,page_section,9,NEWSLETTER,inline,Wellness tips + first order discount,recommended
154,health-wellness,product-detail,page_section,1,PRODUCT-DETAIL,gallery-sidebar,Product + supplement facts overlay,required
155,health-wellness,product-detail,page_section,2,PRODUCT-DETAIL,description-tabs,"Benefits, ingredients, dosage, research",required
156,health-wellness,product-detail,page_section,3,TRUST-BADGES,inline-strip,"Third-party tested, GMP, FDA facility",required
157,health-wellness,product-detail,page_section,4,PRODUCT-DETAIL,subscription-upsell,Subscribe & save 15%,required
158,health-wellness,product-detail,page_section,5,FAQ,mini-accordion,Product-specific FAQ (3-5 questions),recommended
159,health-wellness,product-detail,page_section,6,TESTIMONIALS,mini-reviews,Customer results reviews,required
160,health-wellness,product-detail,page_section,7,PRODUCT-SHOWCASE,stack-builder,Stack with these supplements,recommended
161,health-wellness,collection,page_section,1,HERO,page-header,Collection title + description + optional banner,required
162,health-wellness,collection,page_section,2,PRODUCT-SHOWCASE,filtered-grid,Product grid with sort/filter,required
163,health-wellness,collection,page_section,3,FEATURES,goal-navigator,Shop by goal/need filter,recommended
164,health-wellness,collection,page_section,4,TRUST-BADGES,inline-strip,Category-level certifications,optional
165,health-wellness,content-page,page_section,1,HERO,page-header,Page title + optional subtitle,required
166,health-wellness,content-page,page_section,2,CONTENT,rich-text,HTML content body,required
167,health-wellness,content-page,page_section,3,CTA,inline,Related page or action CTA,optional
168,health-wellness,about,page_section,1,HERO,page-header,Company name + tagline,required
169,health-wellness,about,page_section,2,ABOUT,editorial-split,Company story,required
170,health-wellness,about,page_section,3,TEAM,grid,Team members,optional
171,health-wellness,about,page_section,4,STATS,counter,Key metrics,recommended
172,health-wellness,about,page_section,5,CTA,centered,Get started / contact,required
173,health-wellness,contact,page_section,1,HERO,page-header,Contact us + subtitle,required
174,health-wellness,contact,page_section,2,CONTACT,split-form,Form + location/map/hours,required
175,health-wellness,contact,page_section,3,FAQ,mini-accordion,Common questions before contacting,optional
176,health-wellness,blog-index,page_section,1,HERO,page-header,Blog title + optional category filter,required
177,health-wellness,blog-index,page_section,2,BLOG-PREVIEW,grid,Blog post grid with featured post,required
178,health-wellness,blog-index,page_section,3,NEWSLETTER,inline,Subscribe for updates,optional
179,health-wellness,shared,navigation,0,NAV,sticky-transparent,Standard dropdown navigation,required
180,health-wellness,shared,footer,0,FOOTER,mega,Multi-column standard footer,required
181,health-wellness,shared,cart_drawer,0,CART-DRAWER,slide-out,Side panel with upsell recommendations,required
182,sports-fitness,homepage,page_section,1,HERO,video-background,Action athlete footage,required
183,sports-fitness,homepage,page_section,2,LOGO-BAR,scrolling-marquee,Athlete endorsements / team logos,recommended
184,sports-fitness,homepage,page_section,3,PRODUCT-SHOWCASE,hover-cards,Shop by sport/activity,required
185,sports-fitness,homepage,page_section,4,FEATURES,icon-grid,Technology/material callouts,required
186,sports-fitness,homepage,page_section,5,TESTIMONIALS,wall,Athlete + customer reviews,recommended
187,sports-fitness,homepage,page_section,6,GALLERY,masonry,Action photography,recommended
188,sports-fitness,homepage,page_section,7,COMPARISON,table,Product comparison matrix,optional
189,sports-fitness,homepage,page_section,8,CTA,split-image,Join the community / challenge,recommended
190,sports-fitness,homepage,page_section,9,NEWSLETTER,inline,Training tips + early access,recommended
191,sports-fitness,product-detail,page_section,1,PRODUCT-DETAIL,gallery-sidebar,"Image gallery left, buy box right",required
192,sports-fitness,product-detail,page_section,2,PRODUCT-DETAIL,description-tabs,"Description, specs, reviews in tabs",required
193,sports-fitness,product-detail,page_section,3,PRODUCT-SHOWCASE,related-products,4 related products carousel,required
194,sports-fitness,collection,page_section,1,HERO,page-header,Collection title + description + optional banner,required
195,sports-fitness,collection,page_section,2,PRODUCT-SHOWCASE,filtered-grid,Product grid with sort/filter,required
196,sports-fitness,collection,page_section,3,PRODUCT-SHOWCASE,featured-3,Featured products from collection,optional
197,sports-fitness,content-page,page_section,1,HERO,page-header,Page title + optional subtitle,required
198,sports-fitness,content-page,page_section,2,CONTENT,rich-text,HTML content body,required
199,sports-fitness,content-page,page_section,3,CTA,inline,Related page or action CTA,optional
200,sports-fitness,about,page_section,1,HERO,page-header,Company name + tagline,required
201,sports-fitness,about,page_section,2,ABOUT,editorial-split,Company story,required
202,sports-fitness,about,page_section,3,TEAM,grid,Team members,optional
203,sports-fitness,about,page_section,4,STATS,counter,Key metrics,recommended
204,sports-fitness,about,page_section,5,CTA,centered,Get started / contact,required
205,sports-fitness,contact,page_section,1,HERO,page-header,Contact us + subtitle,required
206,sports-fitness,contact,page_section,2,CONTACT,split-form,Form + location/map/hours,required
207,sports-fitness,contact,page_section,3,FAQ,mini-accordion,Common questions before contacting,optional
208,sports-fitness,blog-index,page_section,1,HERO,page-header,Blog title + optional category filter,required
209,sports-fitness,blog-index,page_section,2,BLOG-PREVIEW,grid,Blog post grid with featured post,required
210,sports-fitness,blog-index,page_section,3,NEWSLETTER,inline,Subscribe for updates,optional
211,sports-fitness,shared,navigation,0,NAV,sticky-transparent,Standard dropdown navigation,required
212,sports-fitness,shared,footer,0,FOOTER,mega,Multi-column standard footer,required
213,sports-fitness,shared,cart_drawer,0,CART-DRAWER,slide-out,Side panel with upsell recommendations,required
214,outdoor-adventure,homepage,page_section,1,HERO,full-bleed-overlay,Landscape hero with gear in action,required
215,outdoor-adventure,homepage,page_section,2,PRODUCT-SHOWCASE,hover-cards,"Shop by activity (hiking, camping, climbing)",required
216,outdoor-adventure,homepage,page_section,3,FEATURES,icon-grid,"Durability, weather-proof, weight specs",required
217,outdoor-adventure,homepage,page_section,4,VIDEO,autoplay-hero,Field testing / expedition footage,recommended
218,outdoor-adventure,homepage,page_section,5,TESTIMONIALS,carousel,Adventure stories from customers,recommended
219,outdoor-adventure,homepage,page_section,6,HOW-IT-WORKS,horizontal-timeline,Gear guide / packing list,optional
220,outdoor-adventure,homepage,page_section,7,GALLERY,masonry,Customer adventure photos,recommended
221,outdoor-adventure,homepage,page_section,8,TRUST-BADGES,horizontal-strip,"Warranty, repair program, materials",required
222,outdoor-adventure,homepage,page_section,9,NEWSLETTER,inline,Trail guides + gear drops,recommended
223,outdoor-adventure,product-detail,page_section,1,PRODUCT-DETAIL,gallery-sidebar,"Image gallery left, buy box right",required
224,outdoor-adventure,product-detail,page_section,2,PRODUCT-DETAIL,description-tabs,"Description, specs, reviews in tabs",required
225,outdoor-adventure,product-detail,page_section,3,PRODUCT-SHOWCASE,related-products,4 related products carousel,required
226,outdoor-adventure,collection,page_section,1,HERO,page-header,Collection title + description + optional banner,required
227,outdoor-adventure,collection,page_section,2,PRODUCT-SHOWCASE,filtered-grid,Product grid with sort/filter,required
228,outdoor-adventure,collection,page_section,3,PRODUCT-SHOWCASE,featured-3,Featured products from collection,optional
229,outdoor-adventure,content-page,page_section,1,HERO,page-header,Page title + optional subtitle,required
230,outdoor-adventure,content-page,page_section,2,CONTENT,rich-text,HTML content body,required
231,outdoor-adventure,content-page,page_section,3,CTA,inline,Related page or action CTA,optional
232,outdoor-adventure,about,page_section,1,HERO,page-header,Company name + tagline,required
233,outdoor-adventure,about,page_section,2,ABOUT,editorial-split,Company story,required
234,outdoor-adventure,about,page_section,3,TEAM,grid,Team members,optional
235,outdoor-adventure,about,page_section,4,STATS,counter,Key metrics,recommended
236,outdoor-adventure,about,page_section,5,CTA,centered,Get started / contact,required
237,outdoor-adventure,contact,page_section,1,HERO,page-header,Contact us + subtitle,required
238,outdoor-adventure,contact,page_section,2,CONTACT,split-form,Form + location/map/hours,required
239,outdoor-adventure,contact,page_section,3,FAQ,mini-accordion,Common questions before contacting,optional
240,outdoor-adventure,blog-index,page_section,1,HERO,page-header,Blog title + optional category filter,required
241,outdoor-adventure,blog-index,page_section,2,BLOG-PREVIEW,grid,Blog post grid with featured post,required
242,outdoor-adventure,blog-index,page_section,3,NEWSLETTER,inline,Subscribe for updates,optional
243,outdoor-adventure,shared,navigation,0,NAV,sticky-transparent,Standard dropdown navigation,required
244,outdoor-adventure,shared,footer,0,FOOTER,mega,Multi-column standard footer,required
245,outdoor-adventure,shared,cart_drawer,0,CART-DRAWER,slide-out,Side panel with upsell recommendations,required
246,home-lifestyle,homepage,page_section,1,HERO,split-image,Styled room setting with hero product,required
247,home-lifestyle,homepage,page_section,2,PRODUCT-SHOWCASE,hover-cards,Shop by room/category,required
248,home-lifestyle,homepage,page_section,3,GALLERY,lookbook-grid,Interior inspiration / styled spaces,required
249,home-lifestyle,homepage,page_section,4,ABOUT,editorial-split,"Design philosophy, materials sourcing",recommended
250,home-lifestyle,homepage,page_section,5,TESTIMONIALS,carousel,Customer home transformations,recommended
251,home-lifestyle,homepage,page_section,6,HOW-IT-WORKS,numbered-steps,Design service / consultation flow,optional
252,home-lifestyle,homepage,page_section,7,PRODUCT-SHOWCASE,carousel,Trending / bestsellers,recommended
253,home-lifestyle,homepage,page_section,8,CTA,split-image,Design consultation CTA,optional
254,home-lifestyle,homepage,page_section,9,NEWSLETTER,inline,Design tips + sale notifications,recommended
255,home-lifestyle,product-detail,page_section,1,PRODUCT-DETAIL,gallery-sidebar,Product + styled room context shots,required
256,home-lifestyle,product-detail,page_section,2,PRODUCT-DETAIL,description-tabs,"Description, dimensions, materials, care",required
257,home-lifestyle,product-detail,page_section,3,FEATURES,icon-row,"Material, dimensions, weight specs",required
258,home-lifestyle,product-detail,page_section,4,GALLERY,in-context,Room inspiration with product,recommended
259,home-lifestyle,product-detail,page_section,5,PRODUCT-SHOWCASE,complete-the-look,Style this room cross-sell,required
260,home-lifestyle,product-detail,page_section,6,TESTIMONIALS,mini-reviews,Customer home photos,recommended
261,home-lifestyle,collection,page_section,1,HERO,page-header,Collection title + description + optional banner,required
262,home-lifestyle,collection,page_section,2,PRODUCT-SHOWCASE,filtered-grid,Product grid with sort/filter,required
263,home-lifestyle,collection,page_section,3,GALLERY,room-inspiration,Styled room inspiration banner,recommended
264,home-lifestyle,content-page,page_section,1,HERO,page-header,Page title + optional subtitle,required
265,home-lifestyle,content-page,page_section,2,CONTENT,rich-text,HTML content body,required
266,home-lifestyle,content-page,page_section,3,CTA,inline,Related page or action CTA,optional
267,home-lifestyle,about,page_section,1,HERO,page-header,Company name + tagline,required
268,home-lifestyle,about,page_section,2,ABOUT,editorial-split,Company story,required
269,home-lifestyle,about,page_section,3,TEAM,grid,Team members,optional
270,home-lifestyle,about,page_section,4,STATS,counter,Key metrics,recommended
271,home-lifestyle,about,page_section,5,CTA,centered,Get started / contact,required
272,home-lifestyle,contact,page_section,1,HERO,page-header,Contact us + subtitle,required
273,home-lifestyle,contact,page_section,2,CONTACT,split-form,Form + location/map/hours,required
274,home-lifestyle,contact,page_section,3,FAQ,mini-accordion,Common questions before contacting,optional
275,home-lifestyle,blog-index,page_section,1,HERO,page-header,Blog title + optional category filter,required
276,home-lifestyle,blog-index,page_section,2,BLOG-PREVIEW,grid,Blog post grid with featured post,required
277,home-lifestyle,blog-index,page_section,3,NEWSLETTER,inline,Subscribe for updates,optional
278,home-lifestyle,shared,navigation,0,NAV,sticky-transparent,Standard dropdown navigation,required
279,home-lifestyle,shared,footer,0,FOOTER,mega,Multi-column standard footer,required
280,home-lifestyle,shared,cart_drawer,0,CART-DRAWER,slide-out,Side panel with upsell recommendations,required
281,pet-products,homepage,page_section,1,HERO,split-image,Happy pets with products,required
282,pet-products,homepage,page_section,2,PRODUCT-SHOWCASE,hover-cards,Shop by pet type / need,required
283,pet-products,homepage,page_section,3,FEATURES,icon-grid,"Natural ingredients, vet-approved",required
284,pet-products,homepage,page_section,4,TESTIMONIALS,wall,Pet parent reviews with pet photos,required
285,pet-products,homepage,page_section,5,HOW-IT-WORKS,numbered-steps,Subscription / feeding guide,recommended
286,pet-products,homepage,page_section,6,STATS,counter,"Happy pets served, 5-star reviews",recommended
287,pet-products,homepage,page_section,7,FAQ,accordion,"Ingredients, allergies, shipping",recommended
288,pet-products,homepage,page_section,8,CTA,centered,Subscribe and save CTA,recommended
289,pet-products,homepage,page_section,9,NEWSLETTER,inline,Pet care tips + first order discount,recommended
290,pet-products,product-detail,page_section,1,PRODUCT-DETAIL,gallery-sidebar,Product + happy pet photos,required
291,pet-products,product-detail,page_section,2,PRODUCT-DETAIL,description-tabs,"Ingredients, feeding guide, sizing",required
292,pet-products,product-detail,page_section,3,TRUST-BADGES,inline-strip,"Vet-approved, natural, made in [country]",required
293,pet-products,product-detail,page_section,4,PRODUCT-DETAIL,subscription-upsell,Autoship & save,recommended
294,pet-products,product-detail,page_section,5,TESTIMONIALS,mini-reviews,Pet parent reviews with pet photos,required
295,pet-products,product-detail,page_section,6,PRODUCT-SHOWCASE,related-products,Frequently bought together,required
296,pet-products,collection,page_section,1,HERO,page-header,Collection title + description + optional banner,required
297,pet-products,collection,page_section,2,PRODUCT-SHOWCASE,filtered-grid,Product grid with sort/filter,required
298,pet-products,collection,page_section,3,PRODUCT-SHOWCASE,featured-3,Featured products from collection,optional
299,pet-products,content-page,page_section,1,HERO,page-header,Page title + optional subtitle,required
300,pet-products,content-page,page_section,2,CONTENT,rich-text,HTML content body,required
301,pet-products,content-page,page_section,3,CTA,inline,Related page or action CTA,optional
302,pet-products,about,page_section,1,HERO,page-header,Company name + tagline,required
303,pet-products,about,page_section,2,ABOUT,editorial-split,Company story,required
304,pet-products,about,page_section,3,TEAM,grid,Team members,optional
305,pet-products,about,page_section,4,STATS,counter,Key metrics,recommended
306,pet-products,about,page_section,5,CTA,centered,Get started / contact,required
307,pet-products,contact,page_section,1,HERO,page-header,Contact us + subtitle,required
308,pet-products,contact,page_section,2,CONTACT,split-form,Form + location/map/hours,required
309,pet-products,contact,page_section,3,FAQ,mini-accordion,Common questions before contacting,optional
310,pet-products,blog-index,page_section,1,HERO,page-header,Blog title + optional category filter,required
311,pet-products,blog-index,page_section,2,BLOG-PREVIEW,grid,Blog post grid with featured post,required
